footnote_no,note
1,"A separate vacancy allowance is not permitted under the Housing Stability and Tenant Protection Act of 2019."
2,"Consistent with guidance from New York State Homes and Community Renewal (HCR), lease adjustments for one- and two-year renewal leases also apply to vacant apartments that become occupied during the term of the Order. No more than one guideline adjustment may be added during the guideline year governed by this order."
3,"For the second year of the lease, adjustement above the amount lawfully charged in the first year, excluding any increases other than the first-year guideline increase."
4,"No vacancy allowance is permitted except as provided by the Rent Regulation Reform Act of 1997 (and the Rent Act of 2015 for Orders 47-50 only)."
5,"In the event of a sublease, governed by subdivision (e) of Section 2525.6 of the Rent Stabilization Code, there is a 10% allowable increase."
6,"The fair market rent for existing housing as established by the U.S. Dept. of Housing and Urban Development (HUD) for the NY Primary Metropolitan Statistical Area pursuant to Section 8c (1) of the U.S. Housing Act of 1937, as found at 42 U.S. Code Section 1437f and 24 C.F.R. Part 888, with such Fair Market Rents to be adjusted accordingly whether the tenant pays his own gas and/or electric charges as part of his rent as such gas and/or electric charges are determined by the NYC Housing Authority."
7,"If the owner provides heat at no charge to tenant."
8,"If the tenant pays own heat."
9,"In the event of a sublease, governed by subdivision (e) of Section 2525.6 of the Rent Stabilization Code, there is a 0% allowable increase."
10,"In the event of a sublease, governed by subdivision (e) of Section 2525.6 of the Rent Stabilization Code, there is a 5% allowable increase."
11,"Provided the monthly rent resulting from application of this level of increase or any portion thereof does not exceed $465."
12,"Provided the monthly rent resulting from application of this level of increase or any portion thereof does not exceed $415."
13,"If no other Vacancy Allowance was taken within the same guideline year."
14,"10% for rents < $400 in buildings with 30 or fewer units, 5% for all other buildings with rents <$1000"
15,"Applicable for apartments located in buildings with thirty or fewer dwelling units."
16,"5% for rents < $500, 3% for rents ≥ $500 <$1000, 0% for rents ≥ $1000."
17,"Caps: Renewal Lease - $342.88 one year, $354.25 two years; Vacancy Lease - $381.88 one year, $393.25 two years."
18,"Caps: Renewal Lease - $344.50 one year, $354.25 two years; Vacancy Lease - $383.50 one year, $393.25 two years."
19,"If no vacancy allowance was taken under the previous"
20,"Caps: Renewal Lease - $334.75 for one year lease, $346.13 for two year lease; Vacancy Lease - $367.25 for one year lease, $378.63 for two year lease."
21,"Caps: Renewal Lease - $371.00 for one year lease, $381.50 for two year lease; Vacancy Lease - $397.25 for one year lease, $407.75 for two year lease."
22,"Caps: Renewal Lease - $312 for one year lease, $319.50 for two year lease; Vacancy Lease - $334.50 for one year lease, $342.00 for two year lease."
23,"Owners no longer required to offer a three year lease effective 10/1/83."
24,"Caps: Renewal Lease - $265 for one year lease, $272.50 for two year lease; Vacancy Lease - $283.75 for one year lease, $291.25 for two year lease."
25,"0% if 15% or more vacancy allowance has been charged since 7/1/79. 5% if less than 15% but more than 0% vacancy allowance has been charged since 6/1/79. 10% if the last vacancy allowance was charged between 7/1/75 and 6/30/79. 15% if no vacancy allowance has been charged in any guidelines period since 7/1/75."
26,"Caps: Renewal Lease without electric - $208 one year, $214 two years, $220 three years. Renewal Lease with electric - $206 one year, $212 two years, $218 three years."
27,"Starting with Order #13, rent increases are based on the legal rent in effect on September 30 prior to the guideline period."
28,"This guideline period is for fifteen months."
29,"If there has been a change in tenancy since 7/1/75."
30,"If there has been no change in tenancy since 7/1/75."
31,"Vacancy increase over 6/30/81 rent for new leases starting on or after 7/1/81 and on or before 9/30/81."
32,"A fuel surcharge of $8 per month is in effect one year from the starting day of any leases commencing between 7/1/79 and 6/30/80."
33,"For leases beginning between 7/1/79 and 1/31/80."
34,"For leases beginning between 2/1/80 and 6/30/80."
35,"In addition to the base adjustment permitted under order #10a, these fuel adjustments for one, two and three year leases could be charged effective 3/1/79. Additional fuel adjustments were set down by Orders #10c,d and e as follows: 1) as of 1/1/80 in addition to the above, $12.00 per month per unit could be charged through 6/30/80; 2) starting 7/1/80, an $8.00 per month per unit fuel adjustment could be charged effective through the end of the lease. In all cases, these adjustments apply only where the landlord provides heat at no additional charge to the tenant. Also, none of these adjustments become part of the base rent and cannot be included in subsequent calculations of rent increases."
36,"For leases where apartment was vacated between 2/1/80 and 6/30/80."
37,"Only if no electrical inclusion was previously taken."
38,"Special adjustments apply for the first renewal lease of any apartment decontrolled under the Vacancy Decontrol Law. See Supplemental Order #6a for specifics."
39,"Applies only to leases starting on or after 9/1/74."
40,"Vacancy Decontrol was in effect from 7/1/71 to 6/30/74."
41,"Effective only for apartments vacated before 6/30/71 and not subject to the Vacancy Decontrol Law."
42,"The renewal lease guidelines also include a separate ""stabilizer"" of 0.5%."
43,"The renewal lease guidelines also include a separate ""stabilizer"" of 1.0%."
44,"The renewal lease guidelines also include a separate ""stabilizer"" of 1.0%."
45,"A one-year lease extension at the same rental could be requested by the tenant."
46,"For two year leases."
47,"For three year leases."
