order_number,beginning_date,end_date,one_year_rate,one_year_footnote,one_year_first_half_rate,one_year_second_half_rate,two_year_rate,two_year_footnote,two_year_first_year_rate,two_year_first_year_rate_footnotes,two_year_second_year_rate,two_year_second_year_rate_footnotes,three_year_rate,three_year_footnotes,guideline_note,guideline_note_footnotes,vacancy_lease,vacancy_lease_rate,vacancy_lease_footnotes,electrical_inclusion,electrical_inclusion_footnotes,fair_marrket_rent_guidelines,fair_market_rent_guidelines_footnotes,scenario_condition_notes,tenant_paid_heat,is_vacancy_scenario,has_rent_condition,has_bldg_unit_condition,has_vacancy_allowance_condition,has_tenancy_change_condition,has_lease_start_condition,has_lease_term_condition,is_vacancy_decontrol_era,condition_date_1,condition_date_2,rent_condition_comparison,rent_condition_threshold_1,rent_condition_threshold_2,bldg_unit_condition_comparison,bldg_unit_condition_threshold,vacancy_allowance_condition_type,vacancy_allowance_threshold_pct_1,vacancy_allowance_threshold_pct_2,tenancy_change_condition_type,lease_start_condition_type,lease_term_years
56,10/1/2024,9/30/2025,0.0275,,0.0275,0.0275,0.0525,,0.0525,,0.0525,,,,,,See Renewal Lease Guidelines,,"1, 2",,,MBR + 49%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
55,10/1/2023,9/30/2024,0.03,,0.03,0.03,0.032,,0.0275,,0.032,3,,,,,See Renewal Lease Guidelines,,"1, 2",,,MBR + 27%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
54,10/1/2022,9/30/2023,0.0325,,0.0325,0.0325,0.05,,0.05,,0.05,,,,,,See Renewal Lease Guidelines,,"1, 2",,,MBR + 27%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
53,10/1/2021,9/30/2022,,,0,0.015,0.025,,0.025,,0.025,,,,,,See Renewal Lease Guidelines,,"1, 2",,,MBR + 39%,,Standard - 0% 1st 6mo / 1.5% last 6mo,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
52,10/1/2020,9/30/2021,0,,0,0,,,0,,0.01,,,,,,See Renewal Lease Guidelines,,"1, 2",,,MBR + 39%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
51,10/1/2019,9/30/2020,0.015,,0.015,0.015,0.025,,0.025,,0.025,,,,,,,0,1,,,MBR + 39%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
50,10/1/2018,9/30/2019,0.015,,0.015,0.015,0.025,,0.025,,0.025,,,,,,,0,"4, 5",,,MBR + 39%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
49,10/1/2017,9/30/2018,0.0125,,0.0125,0.0125,0.02,,0.02,,0.02,,,,,,,0,"4, 5",,,MBR + 33%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
48,10/1/2016,9/30/2017,0,,0,0,0.02,,0.02,,0.02,,,,,,,0,"4, 5",,,MBR + 33%,,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
47,10/1/2015,9/30/2016,0,,0,0,0.02,,0.02,,0.02,,,,,,,0,"4, 5",,,Greater of MBR + 33% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
46,10/1/2014,9/30/2015,0.01,,0.01,0.01,0.0275,,0.0275,,0.0275,,,,,,,0,"4, 5",,,Greater of MBR + 30% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
45,10/1/2013,9/30/2014,0.04,,0.04,0.04,0.0775,,0.0775,,0.0775,,,,,,,0,"4, 5",,,Greater of MBR + 30% or H.U.D.'s Fair Market Rent,6,Standard,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,
